呵	口可:kk
哅	口匈:kx
焸	火日:ho
焽	火明:hm
㐫	亠凶:wx
䧺	隹右:vy
詾	言匈:yx
𠓙	.:uu｜儿先:ex｜先先:xx
𡪰	.:bh
𡬁	.:bx
𢢹	.:xn｜牛心:nx｜心香:xx
𢿌	攴目:po｜丿攴:pp
𣅷	日兄:ox
𤔫	爫曼:vm
𤛪	牛老:nl
𥃴	.:ox｜目十:ou
𥥧	穴老:xl
𥦥	穴人:xr
𦈤	.:fq｜.:fy
𦓈	.:lh｜老老:ll
𦙄	月凶:ox｜凶月:xo
𧘮	亠丿:wp
𧞞	衤熊:yx
𧰯	.:ug｜豕厶:us
𧽒	走臭:zi
𧿖	足凶:zx
𨥍	金凶:jx
𩌠	.:gx｜革月:go
𩧊	.:mq｜馬夐:mx
𩴂	鬼重:gv
俢	亻彡:rp
繡	糸肅:ss
鏽	金肅:js
鵂	鳥休:nx｜亻鳥:rn
鎀	金修:jx
綉	糸秀:sx
飍	風風:ff
褎	亠{衣}:wy｜衣禾:yh
銹	金秀:jx
糔	米蚤:mz
饈	食羞:ux
髤	髟木:im｜木髟:mb
齅	鼻臭:bi
潃	氵月:do
烌	火休:hx
銝	金休:jx
鏅	.:jo｜金脩:jx｜.:jy
鏥	金宿:js
㗜	口畜:ki
㱙	.:dk
㳜	氵休:dx
㾋	疒休:bx
峀	山由:uy
樇	.:mo｜.:my
璓	.:wx
繍	.:ss
脙	月求:oq
臹	至成:vi
苬	艹囚:cq
螑	虫臭:ii
褏	亠{衣}:wy｜衣由:yy
鮴	魚休:yx
鱃	魚羞:yx
𡔨	火壬:hr
𡜨	女休:nx
𡟞	女修:nx
𡯐	.:wm｜尢木:ym
𢊒	.:gx
𢓵	彳秀:xx
𢕦	彳良:xl
𣧬	歹句:dj
𤚯	牛臭:ni
𥌪	.:ox
𥞼	禾月:ho
𦟤	月羞:ox
𦪋	舟羞:vx
𧌌	虫尤:iy｜月虫:oi
𧙏	衣由:yy
𩘭	風羞:fx
𩛢	食攸:uy｜攸食:yu
𩡎	香幽:xy
𩢮	.:mx｜馬木:mm｜亻榪:rm
𩭘	髟材:ic
𩮄	.:ih
𪀪	鳥休:nx
𪁮	鳥秀:nx｜秀鳥:xn
𪕦	鼠尤:uy
𪘆	齒休:ix
休	亻木:rm
邪	耳牙:ey｜牙阝:ye
許	言午:yw
続	糸儿:se｜糸売:sk
續	糸賣:sm
嬃	女須:nx
須	彡頁:py｜頁彡:yp
虛	虍业:hy
歘	欠焱:qy
盨	皿須:mx
鬚	髟須:ix
緒	糸者:sv
訏	言于:yy
歔	欠虚:qx
敘	攵余:wy
壻	土胥:tx
砉	丰石:fu｜石丰:uf
淢	氵或:dh
敍	攴余:py｜余又:yy
姁	女句:nj
鱮	魚與:yy
裇	衤血:yx
侐	亻血:rx
禑	示禺:uy
詡	言羽:yy
燸	火需:hx
芧	艹予:cy
卹	卩血:ex
藚	艹賣:cm
虗	虍丘:hq
訹	言术:yu
俆	亻余:ry
朂	日力:ol
稰	禾胥:hx
鑐	金需:jx
魖	鬼虚:gx
勗	日助:ov｜日助:rv
暊	日頁:oy
獝	犭口:qk｜犭矞:qy
瞁	.:oj｜目犬:oq
藇	艹與:cy
頊	王頁:wy｜頁王:yw
喣	灬句:hj｜口灬:kh
怴	忄戉:xy
汿	氵予:dy
沀	水予:uy
漵	氵攵:dw｜氵敘:dx
潊	氵攴:dp｜.:dx｜.:dy
烅	火血:hx
烼	火豕:hu
諿	言耳:ye｜言咠:yq
㐨	予予:yy
㑔	亻页:ry
㑯	亻頁:ry
㕛	又又:yy
㖅	口戌:kx
㗵	口欻:ki
㘧	土予:ty
㚜	大或:dh
㜅	女畜:ni
㜿	子予:zy
㞊	.:ws
㞰	山午:uw
㤢	心有:xy
㥠	忄胥:xx
㦽	.:yh
㰲	欠或:qh
㵰	氵與:dy
㷦	耿灬:gh
㺷	.:wv
㾥	疒叔:bu
䂆	矛勺:mu
䅡	禾頁:hy
䋶	糸頁:sy
䍱	羊余:yy
䔓	艹許:cx
䘏	血阝:xe
䙒	衤畜:yi
䛙	言休:yx
䜡	言憂:yy
䢕	辶戌:zx
䣱	酉句:yj
䣴	酉兇:yx
䦗	門血:mx
䦽	阝予:ey
䬔	風俞:fy
䱬	魚胥:yx
䳳	鳥祟:ns
伵	亻四:rs
偦	亻胥:rx
惐	心或:xh
楈	木胥:mx
槒	木畜:mi｜.:mx
欨	欠句:qj
欰	欠血:qx｜血欠:xq
殈	歹血:dx
珬	王戌:wx
疞	疒亏:bk
盢	皿畎:mq
稸	禾畜:hi｜.:hx
綇	糸酉:sy
緖	.:so｜.:sr｜糸者:sv
縃	糸胥:sx
聓	耳巩:eg
聟	耳知:ev
蕦	艹須:cx
蛡	虫羽:iy
蝑	虫胥:ix
諝	言胥:yx
譃	言虚:yx
賉	貝血:bx
鄦	耳無:ew
驉	馬虚:mx
𠆐	亠灬:wh
𠜄	.:dx
𠧰	卜口:bk
𠷙	口攵:kw
𠹘	口又:ky
𠾫	口須:kx
𡦁	.:zh｜子彖:zt｜彖子:tz
𡱣	尸予:uy
𡹲	山胥:ux
𢄼	巾須:jx｜須巾:xj
𢖳	心于:xy
𢨁	戈韭:gj
𢨰	户父:hf
𢩕	户户:hh
𣅤	日犬:oq
𣆒	日戍:ou
𣊞	日欻:oi
𣚏	木目:mo｜亠木:wm
𣢊	欠勿:qw｜勿欠:wq
𣧵	歹戌:dx
𣨤	歹或:dh
𣰃	毛而:me
𣸃	.:dv｜氵术:du
𤆞	火勿:hw
𤇳	火戌:hx
𤚉	牛取:nq｜取牛:qn
𤟠	犭胥:qx
𤡣	犭虚:qx
𤡶	犭十:qu
𤬱	瓦勿:ww
𤭽	瓦祟:ws
𤲸	田兹:tz｜兹田:zt
𤷇	疒或:bh
𤸀	疒胥:bx
𥄵	.:ov｜目术:ou
𥅺	目色:os
𥆛	目役:oy｜役目:yo
𥇏	.:og｜目炅:oj
𥇿	目或:oh
𥈈	.:jh｜目灬:oh
𥊊	目十:ou
𥍟	矛殳:mu
𥎕	.:ju｜.:jx｜矞戍:yu｜矞戌:yx
𥎗	矛與:my
𥕰	石虚:ux
𥚩	示胥:ux
𥳗	竹須:vx
𦄼	糸須:sx
𦅏	糸而:se
𦑍	羽或:yh｜或羽:hy
𦕓	.:eg
𦘼	.:yo
𦜃	.:ot｜月大:od
𦝳	.:oi
𦠷	囱胥:cx
𦪡	舟虚:vx
𦯅	艹序:cx
𦰰	.:cx｜艹句:cj
𦰲	艹盱:cx
𦲰	艹亏:ck
𧁃	.:cx｜艹畜:ci
𧆜	.:hx｜.:hy｜虍亏:hk
𧆡	几虎:jh
𧊥	虫戍:iu｜.:ix
𧕼	虫翽:ih｜翽虫:hi
𧙆	衤瓜:yg
𧟬	覀丘:xq
𧧓	言血:yx
𧶍	貝或:bh
𧹭	.:if｜赤田:it
𧼑	走或:zh
𨅑	足須:zx
𨋾	車羽:iy
𨌎	車余:iy
𨜿	.:es｜祟阝:se
𨞣	.:es｜歲阝:se
𨣦	酉與:yy
𨬗	金須:jx
𨴎	門而:me
𨵮	門重:mv
𨷔	門熏:mx
𨹘	阝序:ex
𨻍	阝祟:es
𨼋	阝虚:ex
𩌮	.:gv｜革灬:gh
𩌲	革處:gi
𩍳	革夂:gw
𩑕	.:yx｜.:yy｜亏頁:ky｜頁亏:yk
𩒇	頁兄:yx｜兄頁:xy
𩒧	.:yp
𩓣	.:yp
𩔴	頁鹿:yl｜鹿頁:ly
𩔼	頁庶:yu｜庶頁:uy
𩝔	飠胥:ux
𩣊	.:mu｜馬戌:mx
𩪉	骨鹿:gl
𩰠	鬯疋:ip｜疋鬯:pi
𩽆	魚賣:ym
𪆛	鳥虚:nx｜虚鳥:xn
𪖩	鼻皿:bm
𪙫	齒虚:ix
县	厶且:sq｜且厶:qs
選	辶共:zg
璿	王睿:wr｜王目:wo
懸	縣心:xx
夐	⺈攵:dw｜夂目:wo
揎	扌宣:fx
暅	日恒:oh
軒	車干:ig
鉉	金玄:jx
譞	言睘:yh｜言睘:yy
鏇	金旋:jx
諼	言爰:yy
镟	钅旋:jx
伭	亻玄:rx
諠	言宣:yx
楥	木爰:my
昍	日日:oo
駽	馬月:mo｜.:my
鍹	金宣:jx
媗	女宣:nx
嫙	女旋:nx
絢	糸旬:sx
萲	艹爰:cy
蜁	虫疋:ip
蠉	.:ih｜虫睘:iy
塇	土宣:tx
袨	衤玄:yx
㘣	.:wy
㧦	扌旬:fx
㳙	.:dy
㳬	氵疋:dp
㹡	犭玄:qx
㾌	疒先:bx
䁢	目旋:ox
䍗	罒玄:sx
䍻	.:ys
䗠	虫旋:ix
䘩	衤旬:yx
䚙	角亘:jg
䚭	.:jg
䝮	貝玄:bx
䠣	足巽:zx
䧎	.:ey
䩙	革玄:gx
䩰	.:gj
䮄	馬玄:mx
䲂	魚旋:yx
䲻	鳥玄:nx
䴉	鳥睘:nh｜鳥睘:ny
䴋	.:nq
弲	弓月:go｜.:gy
怰	心玄:xx
愋	心爰:xy
檈	.:mh｜.:my
癬	疒鮮:bx
睻	目宣:ox
矎	目攵:ow｜目夐:ox
箮	𥫗宣:vx
縼	糸旋:sx
繏	.:sg
翧	羽宣:yx
蓒	艹軒:cx
蔙	艹旋:cx
蕿	艹爰:cy
藼	艹憲:cx
蘐	艹諼:cx｜艹爰:cy
蝖	虫宣:ix
贙	貝虎:bh
颴	風疋:fp
駨	馬旬:mx
鰚	魚宣:yx
𠗻	冫堅:dj
𠣖	勹玄:gx
𠥞	匚全:kq
𠵷	口兖:ky
𡈣	.:ku
𡾥	山縣:ux
𢂄	巾玄:jx
𢈋	广䏍:gy｜广月:go
𢏧	弓角:gj
𢙂	.:xa｜心皿:xm｜.:yx
𢰊	扌寸:fc
𢳄	扌旋:fx
𣉖	.:oh
𣎓	月旋:ox
𣟳	木還:mh
𤂿	氵選:dx
𤟿	犭宣:qx
𥌭	目縣:ox
𥥾	穴肙:xy｜穴月:xo
𥶷	𥫗選:vx
𦌔	.:ss｜罒巽:sx
𦑙	.:yh｜彖羽:ty｜羽彖:yt
𦛔	月疋:op
𧉎	虫月:io
𧐗	虫旋:ix
𧑩	.:ia
𧔤	虫縣:ix｜縣虫:xi
𧜽	衤旋:yx
𧟨	覀升:xu｜.:yu
𧡚	見直:jv｜直見:vj
𧡢	見宣:jx｜宣見:xj
𧤎	角宣:jx
𧾆	走萌:zm
𧾎	.:zq
𧾩	.:zr｜走又:zy
𨀮	足月:zo
𨁁	足疋:zp
𨊼	車尹:iy
𨹆	.:ey
𩃚	雨泫:yx
𩉥	革尹:gy
𩋢	革宣:gx
𩋫	革爰:gy
𩋱	革車:gi
𩑹	頁玄:yx｜玄頁:xy
𩕖	.:yu｜頁寸:yc｜爫頁:vy
𩕪	.:yq｜罒頁:sy
𩟁	.:uq
𩤡	馬宣:mx｜宣馬:xm
𪍧	麥旋:mx｜旋麥:xm
學	子冖:zb｜𦥑子:jz
桖	木血:mx
謔	言虐:yn
鷽	𦥑鳥:jn｜鳥冖:nb
泶	丶水:du｜水冖:ub
嶨	.:ju｜山冖:ub
瞲	目口:ok｜目矞:oy
轌	車雪:ix
鞾	革華:gh
岤	山穴:ux
澩	水冖:ub｜.:ju
瀥	.:dg｜氵翯:dh
燢	火冖:hb｜.:jh
狘	.:qy
艝	舟雪:vx
鱈	魚雪:yx
㔧	盧力:ll
㖸	口虐:kn
㗾	口靴:kx
㞽	.:uy
㡜	巾祭:jj
㧒	扌穴:fx
㶅	氵學:dx
㿱	皮折:pv
䆷	.:xj
䎀	.:yy
䤕	酉樂:yl
䨮	雨彗:yh
䫻	風日:fo
䫼	風夬:fg
䬂	.:fy
䭥	食養:uy
䱑	魚折:yv
乴	乙折:yv
坹	土穴:tx
敩	攵学:wx
斈	文子:wz
樰	木雪:mx
疶	疒世:bu
膤	月雪:ox
蒆	艹女:cn
袕	衤穴:yx
趐	走羽:zy
辥	.:xv
辪	.:xv
雤	.:jv
鸴	丶鸟:dn｜鸟冖:nb
𢪎	扌化:fh
𢯳	.:fl｜扌又:fy
𢼺	.:wv｜折攴:vp｜攴折:pv
𣧌	歹戈:dg
𣧡	.:dy｜歹丶:dd
𣪨	殳大:ud｜殳天:ut｜大殳:du
𣺭	氵丙:db
𤀰	氵高:dg
𥄎	.:ow｜目攴:op
𥄒	目化:oh
𥅧	目血:ox
𦐍	羽夬:yg
𦥯	𠂆冖:pb
𦰾	.:cp｜艹包:cb
𧉢	虫穴:ix
𧔗	虫虫:ii
𧮞	言矍:yj
𧸗	貝歲:bs
𨂂	足炙:zv
𨑣	辶夬:zg
𨭁	金氺:ju
𩌊	殳革:ug｜革殳:gu
𩖱	風水:fu
𩖶	.:fv｜風术:fu
𪃅	鳥削:nx｜削鳥:xn
孙	子小:zx
荤	艹军:cj
勲	.:dd｜.:hd
薫	艹熏:cx
噚	口尋:kx
訓	言川:yi
尋	寸口:ck｜𫜹寸:xc
窨	穴音:xy｜宀音:by
愻	心孫:xs
訊	言十:yu｜言讯:yx
燻	火熏:hx
詢	言旬:yx
鄩	耳尋:ex
蟳	虫尋:ix
燖	火尋:hx
偱	亻盾:rd
纁	糸熏:sx
坃	土元:ty
勛	力員:ly
塤	土員:ty
臐	月熏:ox
鱏	魚覃:yt
卂	.:yu
勳	力黑:lh｜力熏:lx
壎	土熏:tx
壦	土隹:tv
爋	.:hd｜.:hh
遜	辶孫:zs
巺	巳八:sb
廵	.:zi
畃	申勺:uu
稄	.:hj
蟫	虫覃:it
馴	馬川:mi
揗	扌盾:fd
潯	氵尋:dx
燅	火坴:hl｜火土:ht｜炎坴:yl｜炎土:yt
爓	火閻:hy
狥	犭旬:qx
紃	糸川:si
鑂	金熏:jx
㜄	女風:nf
㝁	子旬:zx
㢲	弓八:gb
㨚	扌荀:fx
㰊	.:mx
㰬	欠旬:qx
㽦	.:ty
䋸	糸盾:sd
䖲	虫旬:ix
䙉	衤盾:yd
䛜	言囟:yx
䞊	貝目:bo
䭀	食迅:ux
伨	亻匀:ry
侚	亻旬:rx
嚑	口熏:kx
奞	大隹:dv
攳	支尋:vx
杊	木川:mi
桪	木寻:mx
樳	木尋:mx
殾	殳者:uv
毥	毛旬:mx
璕	王尋:wx
矄	目熏:ox
蘍	艹勳:cx
訙	言丸:yw
迿	辶旬:zx
顨	頁丌:yq
鱘	魚尋:yx
𠹀	口孫:ks
𡑎	土尋:tx
𡺕	山力:ul
𢏤	.:gj｜弓夂:gw
𣌨	申匀:uy
𣖼	.:ms｜木兮:mx
𣹯	.:ds｜氵兮:dx
𤃺	氵田:dt
𤑕	.:hh
𤛧	牛尋:nx
𤿟	皮旬:px｜旬皮:xp
𥒘	石旬:ux
𥙣	示旬:ux
𥳍	竹尋:vx
𦅀	糸尋:sx
𦅑	糸循:sx
𦘶	月川:oi
𦠅	月尋:ox
𦫯	色熏:sx｜熏色:xs
𦳣	荀大:xd
𧥿	言水:yu
𧰣	.:vx｜豆薰:dx｜吉薰:jx
𧸩	貝睿:br
𧾝	.:zh
𧾠	走叙:zx
𨀴	足旬:zx
𨺮	阝麦:em
𨼔	阝尋:ex
𩊻	.:gj｜革夂:gw
𩪱	骨熏:gx
𩷰	魚迅:yx
𩾧	鳥川:ni
𪀠	鳥旬:nx
𪇑	鳥熏:nx｜熏鳥:xn
犽	犭牙:qy
亞	一一:aa
圧	厂土:it
亜	一一:aa
碣	石曷:uh
鴨	鳥甲:nj｜甲鳥:jn
厓	厂圭:ig
窫	穴契:xq｜宀契:bq
壓	土厭:ty
冴	冫牙:dy
痖	疒亚:by
枒	木牙:my
齾	.:iq｜齒獻:ix
挜	扌亚:fy
鵶	鳥亞:ny
啞	口亞:ky
襾	一一:aa
圠	土乚:tg
漄	氵崖:dy
俹	亻亞:ry
姶	女合:nh
庌	广牙:gy
掗	扌亞:fy
瘂	疒亞:by
笌	𥫗牙:vy
覀	一一:aa｜{覀}:xi
訝	言牙:yy
孲	子亞:zy
氬	气亞:qy
釾	金牙:jy
錏	金亞:jy
鐚	金惡:je
㝞	宀亞:by
㰳	欠亞:qy
㿿	皿疋:mp
䃁	石亞:uy
䄰	禾牙:hy
䅉	禾亚:hy
䊦	米壹:my
䝟	豸契:vq
䢝	辶亞:zy
䦪	門曷:mh
䪵	牙頁:yy
䰲	魚乚:yg
䵝	黑乚:hg
劜	力乚:lg
厊	厂牙:iy
厑	.:ib｜.:ii
唖	口亜:ky
圔	囗盍:kh｜.:km
埡	土亞:ty
婭	女亞:ny
崕	.:uy
庘	广甲:gj
椏	木亞:my
椻	木女:mn
稏	禾亞:hy
聐	耳吉:ej
蕥	艹雅:cy
铔	钅亚:jy
鴉	鳥牙:ny｜牙鳥:yn
齖	齒牙:iy
𠋗	亻幺:ry
𠜲	.:dy
𠮜	口乚:kg
𠵣	.:kv｜口軋:ky
𡇼	.:kh
𡴭	山乙:uy
𡶦	山丘:uq
𡷻	山山:uu
𡸗	.:uv｜山軋:uy
𡹄	山亞:uy
𢛄	.:xy｜心圭:xg
𢛟	心亞:xy
𢮊	扌軋:fy｜.:fv
𣉩	.:oy｜日八:ob｜亞日:yo
𣏎	木丫:my
𤘅	牙子:yz
𤘆	牙牙:yy
𤴓	一{止}:av｜一人:ar
𤵭	疒甲:bj
𤷅	疒兒:be
𤹎	疒灬:bh
𥇠	.:wj｜目目:oo｜夂目:wo
𥏝	矢亞:uy
𥐕	石乚:ug
𥒧	石卜:ub
𦉟	缶齒:fi
𦉧	缶獻:fx｜獻缶:xf
𦜖	月亞:oy
𧈝	虫乙:iy
𧓪	虫銀:iy
𧧝	言牙:yy
𧬬	言業:yy
𨁶	足亞:zy
𨓴	辶卸:zx
𨖭	辶崖:zy
𨨙	金幺:jy
𨸺	阝甲:ej
𨹝	阝邑:ey
𩃐	雨低:yd
𩨠	骨牙:gy
𩭯	髟亞:iy
𩮝	髟害:ih
𩿔	鳥反:nf｜反鳥:fn
𪆰	鳥葛:ng｜葛鳥:gn
𪖐	鼻乚:bg
𪗹	齒圭:ig
𪘬	.:iy｜齒圭:ig
験	馬人:mr
顔	彦頁:yy
塩	土皿:tm
縯	糸寅:sy
讠	{讠}:yj
礹	.:ug｜石嚴:uy
昖	日公:og
嚴	口敢:kg
剡	刂炎:dy
煙	火土:ht｜火垔:hy
酓	酉今:yj
啱	口岩:ky
巘	山犬:uq｜山獻:ux
巖	山敢:ug｜山嚴:uy
硏	石干:ug｜石开:uk
豔	豆皿:dm｜豐盍:fh｜豐皿:fm｜去皿:qm
厳	丶敢:dg
彥	彡产:pi｜文彡:wp
鹽	鹵皿:lm｜皿鹵:ml
菸	艹於:cy
厭	厂犬:iq｜厂猒:iy
驗	馬僉:mq
嚈	.:kq｜口厭:ky
醃	酉电:yd｜酉奄:yy
埏	土延:ty
揜	扌廾:fc｜扌弇:fy
鴳	鳥安:na
喦	山品:up
訁	丶一:da｜丶口:dk｜亠口:wk
鴈	厂鳥:in
焔	火旧:hj
檿	.:im｜.:mq｜木厭:my
黰	黑真:hv
龑	龍天:lt
鷃	鸟晏:ny｜鸟安:na
嵒	山品:up
贗	貝鳥:bn｜貝鴈:by｜厂貝:ib
閹	門电:md｜門奄:my
嚥	口燕:ky
兗	六兄:lx｜亠兄:wx
曕	日詹:ov｜日言:oy
讌	言燕:yy
贋	.:bv｜貝雁:by｜.:ib
梴	木延:my
黤	黑电:hd｜黑奄:hy
巗	山敢:ug｜山嚴:uy
燄	火臼:hj｜火臽:hx｜炎臼:yj｜炎臽:yx
猒	犬月:qo｜.:qy
鬳	虍鬲:hg
炏	火火:hh
烻	火延:hy
顏	彦頁:yy
麣	.:lg｜鹿嚴:ly
匽	匚女:kn｜匚妟:ky
隒	阝兼:ej
鶠	鳥女:nn｜鳥匽:ny
硯	石見:uj
簷	𥫗詹:vv｜𥫗言:vy
醼	酉燕:yy
鰋	魚女:yn｜.:yy
牪	牛牛:nn
喭	口彦:ky
姸	女干:ng｜.:nk
嵃	山彦:uy
嵓	山品:up
抁	扌允:fy
櫩	木閻:my
珚	王因:wy
艷	色豆:sd｜色豐:sf
莚	艹延:cy
觾	角燕:jy
諺	言彦:yy
豓	豆皿:dm｜豐盇:fh｜豐皿:fm｜{曲}皿:qm
閆	門三:ms
閻	門臼:mj｜門臽:mx
黶	.:hq｜黑厭:hy｜.:ih
齞	齒只:iv
偐	亻彦:ry
儼	亻敢:rg｜亻嚴:ry
姲	女安:na
懕	.:xq｜心厭:xy
懨	忄犬:xq｜忄厭:xy
淊	氵臼:dj｜氵臽:dx
渷	.:dx｜氵兖:dy
灎	.:dh｜.:dm
灔	氵色:ds｜.:dy
灧	氵色:ds｜.:dy
灩	氵盍:dh｜氵皿:dm
焑	火困:hk
熖	火舀:hy
阽	耳占:ev
騴	.:ma｜馬晏:my
驠	馬燕:my
黫	黑土:ht｜.:hy
黬	黑咸:hx
黭	黑廾:hc｜黑弇:hy
㓧	刂含:dh
㕣	口八:kb
㗴	口閒:kx
㘖	口頁:ky
㘙	口嚴:ky
㚧	.:ny
㛪	女奄:ny
㢂	.:gd
㢛	.:gj
㤿	心奄:xy
㦔	.:xy
㫃	方人:fr
㫟	日口:ok
㬫	日燕:oy
㭺	木奄:my
㳂	氵公:dg
㶄	氵閻:dy
㷔	火臼:hj
㷳	火雁:hy
㷼	.:hc
㿕	疒閻:by
㿼	.:mj
䀋	.:mt
䀽	目延:oy
䁙	目晏:oy
䂩	石因:uy
䂴	石言:uy
䄋	示奄:uy
䅧	禾音:hy
䇾	𥫗言:vy
䊙	米研:my
䊻	糸欠:sq
䌪	糸閻:sy
䎦	耒炎:ly
䑍	月嬰:oy
䓂	艹言:cy
䕾	艹嚴:cy
䖗	虍咸:hx
䗡	虫焉:iy
䗺	.:yk
䜩	讠燕:yy
䢥	辶目:zo
䢭	辶羡:zx｜.:zy
䣍	耳奄:ey
䤷	.:jy
䭘	飠景:uj
䱲	.:yh
䲓	.:yj
䳛	.:ny
䳺	鳥酉:ny
䴏	鳥燕:ny
乵	辛乚:xg
傿	亻焉:ry
剦	刂电:dd｜刂奄:dy
厴	厂甲:ij
噞	口僉:kq
壛	土閻:ty
壧	土敢:tg｜土嚴:ty
妟	日女:on｜.:rn
娫	女延:ny
娮	女言:ny
嬊	廿女:cn｜.:nb
嬮	.:nq｜女厭:ny
孍	.:ng｜女嚴:ny
嶖	山翕:ux｜.:uy
巌	山敢:ug｜.:uy
巚	山犬:uq｜山獻:ux
愝	心女:xn｜心匽:xy
揅	手研:uy
敥	.:hy｜攴炎:py
暥	.:oa｜日晏:oy
曣	日燕:oy
曮	日敢:og｜日嚴:oy
椼	.:mi｜木衍:my
楌	木彦:my
樮	木火:mh
欕	.:mg｜木嚴:my
歅	欠土:qt｜.:qy
殗	歹电:dd｜歹奄:dy
狿	犭延:qy
琂	王言:wy
硽	.:ud｜石奄:uy
碞	石品:up
篶	竹焉:vy
臙	月燕:oy
艶	色豆:sd｜色豊:sl
萒	艹兖:cy
蔅	艹女:cn
褗	衤女:yn｜衤匽:yy
覎	見子:jz
訮	言开:yk
詽	言开:yk
讞	言犬:yq｜言獻:yx
躽	身女:un｜.:uy
軅	身雁:uy
遃	辶彦:zy
郔	耳延:ey
酀	耳燕:ey
釅	酉敢:yg｜酉嚴:yy
隁	耳女:en｜.:ey
顩	頁僉:yq
饜	厂食:iu｜食犬:uq｜食厭:uy
騐	馬念:mn
魘	鬼厭:gy｜鬼犬:gq｜厂鬼:ig
鳫	厂鳥:in
鷰	廿鳥:cn｜.:nb
鼴	鼠女:un｜鼠匽:uy
齴	齒彦:iy
𠆲	.:gr｜亻广:rg
𠍛	亻女:rn
𠘥	冫嚴:dy
𠛭	.:dy
𠝢	.:dc
𠰖	口了:kl
𠻤	口寅:ky
𡙶	夭电:yd｜大电:dd
𡚇	.:dj｜丨大:ad｜大罒:ds
𡣽	女閻:ny
𡹶	.:uy｜山女:un
𢅠	巾厭:jy｜厭巾:yj
𢇈	人丷:rb｜幺丷:yb
𢇘	广女:gn
𢉘	广炎:gy
𢌨	廴目:zo
𢔂	彳奄:xy
𢜰	心弇:xy
𢤍	甘心:gx｜心犬:xq
𢯼	扌衍:fy
𢸴	扌閻:fy
𢾑	.:wy｜音攴:yp｜攴音:py
𣃧	方日:fo
𣃳	.:fn｜方又:fy
𣃾	方奄:fy
𣄉	方酉:fy
𣄑	方奄:fy
𣄝	.:fj
𣚕	.:my｜木犬:mq
𣝎	木炎:my
𣡕	林林:ll｜木林:ml
𣡞	.:mi
𣡶	木鹽:my
𣥡	止毛:vm
𣩙	歹焉:dy
𣭻	足毛:zm｜毛足:mz
𣼞	.:dk
𣼠	氵几:dj
𤂠	溘去:kq
𤅊	氵獻:dx
𤅸	氵鹽:dy
𤎄	火焉:hy
𤖝	爿詹:pv
𤗎	片奄:py
𤜵	.:qj｜犭开:qk
𤟇	犭炎:qy
𤟟	犭音:qy
𤡖	犭這:qv
𤢋	.:qy
𤫣	.:wx｜王甗:wy
𤬝	瓜鬲:gg｜虍瓜:hg
𤯇	甘炎:gy
𤯐	甘閻:gy
𤲩	田炎:ty
𤸹	疒剡:bu
𥀬	皮厭:py｜厭皮:yp
𥂁	皿口:mk｜土皿:tm
𥃿	目工:og
𥍻	.:my｜矛女:mn
𥕼	石酉:uy
𥜒	示厭:uy
𥣘	禾厭:hy
𥤟	禾鹽:hy
𥤴	.:xj｜穴开:xk
𥯃	竹奄:vy
𥴿	𥫗口:vk
𥶿	𥫗閻:vy
𥷀	竹燕:vy
𦁏	糸奄:sy
𦁙	糸兖:sy
𦌚	罒奠:sd
𦎣	.:yy｜羊土:yt
𦏥	羊大:yd
𦏹	羽干:yg
𦑎	羽奄:yy
𦖈	耳奄:ey
𦖧	.:ey｜耳女:en
𦛞	月邑:oy
𦛣	月走:oz
𦝪	.:oy｜月土:ot
𦫤	色頁:sy
𧇱	虎咸:hx
𧊔	行虫:xi｜虫行:ix
𧍢	虫衍:iy｜衍虫:yi
𧎘	虫衍:iy
𧞣	衤厭:yy
𧠦	見目:jo
𧥜	亠凵:wk
𧩅	言夂:yw
𧬌	.:yn｜.:yy｜言凵:yk
𧴣	豸嚴:vy
𧹬	.:iy｜赤土:it
𧺅	.:iu｜書赤:ui｜赤覀:ix
𧽉	走晏:zy
𧽞	走焉:zy
𧾤	走憂:zy
𨀅	足冉:zr
𨁍	足見:zj
𨁹	足炎:zy
𨂪	足彦:zy
𨃰	足兼:zj
𨒄	.:zy
𨟹	酉今:yj
𨠭	合酉:hy｜酉合:yh
𨡄	酉言:yy
𨡎	酉念:yn
𨡣	酉念:yn
𨣻	.:yj
𨤎	酉鹽:yy
𨪶	金晏:jy
𨴣	門安:ma
𨶁	門晏:my
𨷽	門鹽:my
𨸮	.:ey｜阝口:ek
𨺥	阝兖:ey
𨻂	阝晏:ey
𨻳	阝焉:ey
𨽑	阝彡:ep
𩃀	雨延:yy
𩈯	面奄:my
𩒖	.:yj｜开頁:ky｜頁开:yk
𩗷	風奄:fy
𩜽	食彦:uy
𩣲	馬典:md
𩩄	.:gj｜骨开:gk
𩩴	骨咸:gx
𩩶	骨食:gu
𩪴	骨養:gy
𩳢	鬼奄:gy
𩻖	魚偃:yy
𩾸	鳥仄:nz｜仄鳥:zn
𪁡	乂鳥:in｜鳥子:nz
𪂈	鳥炎:ny｜炎鳥:yn
𪐘	黑乙:hy
𪑈	黑見:hj
𪒝	黑雲:hy
𪗙	齒干:ig
𪗤	齒丹:id
𪙊	齒兼:ij
樣	木羕:my
様	木水:mu
详	讠羊:yy
卬	卩𠄌:ea｜卩𠄌:ev
昜	日勿:ow
陽	阝昜:ey
楊	木昜:my
養	羊良:yl｜羊食:yu
癢	疒養:by
揚	扌昜:fy
暘	日昜:oy
胦	月央:oy
