0	0 0⃣️
正面的雞寶寶	正面的雞寶寶 🐥
正面的鸡宝宝	正面的鸡宝宝 🐥
死亡	死亡 💀
残月	残月 🌙 🌘
残障	残障 ♿️
残障人士	残障人士 ♿️
殘月	殘月 🌙 🌘
殘障	殘障 ♿️
殘障人士	殘障人士 ♿️
母亲	母亲 👩
母牛	母牛 🐮
母親	母親 👩
母雞	母雞 🐔
母鸡	母鸡 🐔
比	比 🆚
比利时	比利时 🇧🇪
比利時	比利時 🇧🇪
比基尼	比基尼 👙
比萨	比萨 🍕
比萨片	比萨片 🍕
比薩	比薩 🍕
比薩片	比薩片 🍕
比賽	比賽 🆚
比赛	比赛 🆚
毕业	毕业 🎓
毕业帽	毕业帽 🎓
毛毛虫	毛毛虫 🐛
毛毛蟲	毛毛蟲 🐛
毛虫	毛虫 🐛
毛蟲	毛蟲 🐛
毛里塔尼亚	毛里塔尼亚 🇲🇷
气愤	气愤 💢 😡 😠
气球	气球 🎈
气馁	气馁 🙍
氣憤	氣憤 💢 😡 😠
氣球	氣球 🎈
氣餒	氣餒 🙍
水晶球	水晶球 🔮
水果	水果 🍐 🍏 🍋 🍆 🍅 🍓 🍒 🍑 🍎 🍍 🍌 🍈 🍇 🍊 🍉
水果刀	水果刀 🔪
水滴	水滴 💧
水牛	水牛 🐃
水瓶座	水瓶座 ♒️
水稻	水稻 🌾
水蜜桃	水蜜桃 🍑
水龍頭	水龍頭 🚰
水龙头	水龙头 🚰
求救	求救 🆘
汉堡	汉堡 🍔
汉堡包	汉堡包 🍔
汗	汗 💦 😰 😅 😓
汗水	汗水 💦
汗滴	汗滴 💧
汗顏	汗顏 😓 💧
汗颜	汗颜 😓 💧
汤加	汤加 🇹🇴
汤面	汤面 🍜
汶萊	汶萊 🇧🇳
汽艇	汽艇 🚤
汽車	汽車 🚗
汽车	汽车 🚗
沈思	沈思 😔
沈睡	沈睡 💤
沉思	沉思 😔
沉睡	沉睡 💤
沒問題	沒問題 👌 🆗
沒有	沒有 🈚️
沒有來信	沒有來信 📭
沒辦法	沒辦法 👐
沖浪	沖浪 🏄
沖涼	沖涼 🚿
沙中之国	沙中之国 🇳🇪
沙中之國	沙中之國 🇳🇪
沙漏	沙漏 ⌛️ ⏳
沙烏地阿拉伯	沙烏地阿拉伯 🇸🇦
沙特阿拉伯	沙特阿拉伯 🇸🇦
没办法	没办法 👐
没有	没有 🈚️
没有来信	没有来信 📭
没问题	没问题 👌 🆗
河豚	河豚 🐡
油棕之国	油棕之国 🇧🇯
油棕之國	油棕之國 🇧🇯
法国	法国 🇫🇷 🇫🇷
法国国旗	法国国旗 🇫🇷
法國	法國 🇫🇷 🇫🇷
法國國旗	法國國旗 🇫🇷
法属南部领地	法属南部领地 🇹🇫
法属圭亚那	法属圭亚那 🇬🇫
法屬南部領地	法屬南部領地 🇹🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法罗群岛	法罗群岛 🇫🇴
法羅群島	法羅群島 🇫🇴
泛舟	泛舟 🚣
泡汤	泡汤 ♨️
泡湯	泡湯 ♨️
泡澡	泡澡 🛀
波兰	波兰 🇵🇱
波士尼亞	波士尼亞 🇧🇦
波多黎各	波多黎各 🇵🇷
波扎那	波扎那 🇧🇼 🇧🇼
波斯尼亚	波斯尼亚 🇧🇦
波浪	波浪 〰 🌊
波浪線	波浪線 〰
波浪线	波浪线 〰
波蘭	波蘭 🇵🇱
注册	注册 ®
注射	注射 💉
注射器	注射器 💉
注意	注意 ⚠️
注意事項	注意事項 📋
注意事项	注意事项 📋
注意儿童	注意儿童 🚸
注意兒童	注意兒童 🚸
泪流满面	泪流满面 😭
泰国	泰国 🇹🇭
泰國	泰國 🇹🇭
泳装	泳装 👙
泳裝	泳裝 👙
洋装	洋装 👗
洋裝	洋裝 👗
洗手間	洗手間 🚻
洗手间	洗手间 🚻
洗澡	洗澡 🛁 🚿 🛀
津巴布韦	津巴布韦 🇿🇼
洪都拉斯	洪都拉斯 🇭🇳
活动	活动 🎠 🛀 💊 💉 💅 💄 🎒 ⛽️ ⛺️ ⛲️ 🗽 💈 🃏 🀄️ 🎬 🎫 🎪 🎨 🎦 🎥 🎤 🎣 🎢 🎡
活動	活動 🎠 🛀 💊 💉 💅 💄 🎒 ⛽️ ⛺️ ⛲️ 🗽 💈 🃏 🀄️ 🎬 🎫 🎪 🎨 🎦 🎥 🎤 🎣 🎢 🎡
活火山	活火山 🌋
派对	派对 🎉
派對	派對 🎉
流星	流星 🌠
流汗	流汗 💦
流泪	流泪 😭 😢
流淚	流淚 😭 😢
浓汤	浓汤 🍲
浪漫	浪漫 💟 💞 💝 💜 💛 💚 💙 💘 💗 💖 💕 💔 💓 💒 💑 💐 💎 💍 💌 💋 💏 🌹
浮云	浮云 ☁️
浮雲	浮雲 ☁️
浴池	浴池 🛁
浴缸	浴缸 🛁
浴衣	浴衣 👘
海上日出	海上日出 🌅
海上活动	海上活动 ⛵️
海上活動	海上活動 ⛵️
海关	海关 🛃
海地	海地 🇭🇹
海浪	海浪 🌊
海王戟	海王戟 🔱
海螺	海螺 🐚
海豚	海豚 🐬
海貝	海貝 🐚
海贝	海贝 🐚
海运	海运 ⚓️ 🚢
海運	海運 ⚓️ 🚢
海關	海關 🛃
消防車	消防車 🚒
消防车	消防车 🚒
涨势	涨势 📈
涼鞋	涼鞋 👡
淋浴	淋浴 🚿
淚流滿面	淚流滿面 😭
淡漠	淡漠 🙎 😐
清凉	清凉 🆒
清涼	清涼 🆒
清酒	清酒 🍶
清除	清除 🆑
清零	清零 🆑
清零鍵	清零鍵 🆑
清零键	清零键 🆑
減	減 ➖
減號	減號 ➖
減速	減速 ⏪
渡輪	渡輪 ⚓️
渡轮	渡轮 ⚓️
温泉	温泉 ♨️
港口	港口 ⚓️
游乐园	游乐园 🎠
游乐场	游乐场 🎡 🎠
游戏	游戏 🎰 🎮
游戏机	游戏机 🎮
游泳	游泳 🏊
游艇	游艇 ⛵️
湯麵	湯麵 🍜
溫泉	溫泉 ♨️
滑雪	滑雪 🎿
滑雪板	滑雪板 🏂
滑雪鞋	滑雪鞋 🎿
满分	满分 💯
满月	满月 🌝 🌕
滿分	滿分 💯
滿月	滿月 🌝 🌕
漠然	漠然 😐
漢堡	漢堡 🍔
漢堡包	漢堡包 🍔
漩涡	漩涡 🌀
漩渦	漩渦 🌀
漲勢	漲勢 📈
潮汐	潮汐 🌊
澳大利亚	澳大利亚 🇦🇺
澳大利亞	澳大利亞 🇦🇺
澳門	澳門 🇲🇴
澳门	澳门 🇲🇴
濃湯	濃湯 🍲
火	火 🔥
火山	火山 🌋
火山喷发	火山喷发 🌋
火山噴發	火山噴發 🌋
火炉国	火炉国 🇸🇩
火焰	火焰 🔥
火爐國	火爐國 🇸🇩
火箭	火箭 🚀
火車	火車 🚊 🚉 🚂 🚅 🚄
火車站	火車站 🚉
火车	火车 🚊 🚉 🚂 🚅 🚄
火车站	火车站 🚉
火鍋	火鍋 🍲
火锅	火锅 🍲
灯泡	灯泡 💡
灯笼	灯笼 🏮
炒虾	炒虾 🍤
炒蝦	炒蝦 🍤
炸弹	炸弹 💣
炸彈	炸彈 💣
炸虾	炸虾 🍤
炸蝦	炸蝦 🍤
点子	点子 💡
点燃	点燃 🔥
烏克蘭	烏克蘭 🇺🇦
烏干達	烏干達 🇺🇬
烏拉圭	烏拉圭 🇺🇾
烏茲别克	烏茲别克 🇺🇿
烏雲	烏雲 ☁️
烏龜	烏龜 🐢
烟火	烟火 🎆
烟花	烟花 🎇 🎆
烤地瓜	烤地瓜 🍠
热带饮品	热带饮品 🍹
热带鱼	热带鱼 🐠
热情	热情 ❤️
热气腾腾	热气腾腾 🍲
热水	热水 ♨️
热汤	热汤 ♨️
热饮	热饮 ☕️
烹飪	烹飪 🍳
烹饪	烹饪 🍳
無	無 🈚️
無口	無口 😶
無尾熊	無尾熊 🐨
無煙區	無煙區 🚭
無能為力	無能為力 👐
無表情	無表情 😐
無視	無視 😾
無話可說	無話可說 😶
無語	無語 😶 😓
焦急	焦急 😰
焰火	焰火 🎇 🎆
煎蛋	煎蛋 🍳
煙火	煙火 🎆
煙花	煙花 🎇 🎆
照明	照明 🔦
照相	照相 📷
照相机	照相机 📷
照相機	照相機 📷
熊	熊 🐻
熊猫	熊猫 🐼
熊猫脸	熊猫脸 🐼
熊脸	熊脸 🐻
熊臉	熊臉 🐻
熊貓	熊貓 🐼
熊貓臉	熊貓臉 🐼
熟睡	熟睡 💤
熱帶飲品	熱帶飲品 🍹
熱帶魚	熱帶魚 🐠
熱情	熱情 ❤️
熱氣騰騰	熱氣騰騰 🍲
熱水	熱水 ♨️
熱湯	熱湯 ♨️
熱飲	熱飲 ☕️
燃料	燃料 ⛽️
燃料泵	燃料泵 ⛽️
燃烧	燃烧 🔥
燃燒	燃燒 🔥
燈泡	燈泡 💡
燈籠	燈籠 🏮
營	營 🈺
營業	營業 🈺
營業中	營業中 🈺
爆炸	爆炸 💥
爪印	爪印 🐾
爱	爱 😍 💓 💗 😘 ❤️
爱你	爱你 😘 😍
爱尔兰	爱尔兰 🇮🇪
爱心	爱心 ❤️ 💗
爱心礼物	爱心礼物 💝
爱情	爱情 💓
爱情旅馆	爱情旅馆 🏩
爱沙尼亚	爱沙尼亚 🇪🇪
父亲	父亲 👨
父親	父親 👨
版权	版权 ©
版權	版權 ©
牙买加	牙买加 🇯🇲
牙買加	牙買加 🇯🇲
牛	牛 🐮 🐄 🐃 🐂
牛仔裤	牛仔裤 👖
牛仔褲	牛仔褲 👖
牛耳餅	牛耳餅 🍥
牛耳饼	牛耳饼 🍥
牛脸	牛脸 🐮
牛臉	牛臉 🐮
牡羊座	牡羊座 ♈️
牧羊座	牧羊座 ♈️
牵手	牵手 👭 👬 👫
特价	特价 🉐
特價	特價 🉐
特克斯和凯科斯群岛	特克斯和凯科斯群岛 🇹🇨
特殊符号	特殊符号 🔣
特殊符號	特殊符號 🔣
特立尼达和多巴哥	特立尼达和多巴哥 🇹🇹
牽手	牽手 👭 👬 👫
犯困	犯困 😪
犹豫	犹豫 😔
狗	狗 🐕 🐩 🐶
狗屎	狗屎 💩
狗脸	狗脸 🐶
狗臉	狗臉 🐶
狮城	狮城 🇸🇬
狮子座	狮子座 ♌️
狮子狗	狮子狗 🐩
狼	狼 🐺
狼脸	狼脸 🐺
狼臉	狼臉 🐺
猪	猪 🐗 🐖 🐷
猪头	猪头 🐗 🐷
猪脸	猪脸 🐷
猪鼻	猪鼻 🐽
猫	猫 🐈 🐱
猫咪	猫咪 🐈
猫熊	猫熊 🐼
猫脸	猫脸 🙀 🐱
猴	猴 🐵 🐒
猴子	猴子 🐵 🐒
猴子脸	猴子脸 🐵
猴子臉	猴子臉 🐵
猴脸	猴脸 🐵
猴臉	猴臉 🐵
猶豫	猶豫 😔
獅城	獅城 🇸🇬
獅子座	獅子座 ♌️
獅子狗	獅子狗 🐩
獎杯	獎杯 🏆
獎盃	獎盃 🏆
獲得	獲得 🉐
玉米	玉米 🌽
玉米穗	玉米穗 🌽
玩游戏	玩游戏 🎮
玩牌	玩牌 🃏
玩遊戲	玩遊戲 🎮
玫瑰	玫瑰 🌹
玫瑰王国	玫瑰王国 🇧🇬
玫瑰王國	玫瑰王國 🇧🇬
环保	环保 ♻️
环扣	环扣 🔗
玻利維亞	玻利維亞 🇧🇴
玻利维亚	玻利维亚 🇧🇴
珠宝	珠宝 💎
珠寶	珠寶 💎
理发	理发 💈 💇
理发店	理发店 💈
理髮	理髮 💈 💇
理髮店	理髮店 💈
琴鍵	琴鍵 🎹
琴键	琴键 🎹
瑞典	瑞典 🇸🇪
瑞士	瑞士 🇨🇭
環保	環保 ♻️
環扣	環扣 🔗
瓜地洛普	瓜地洛普 🇬🇵
瓜地馬拉	瓜地馬拉 🇬🇹
瓜德罗普	瓜德罗普 🇬🇵
瓜皮帽	瓜皮帽 👲
瓢虫	瓢虫 🐞
瓢蟲	瓢蟲 🐞
瓦努阿图	瓦努阿图 🇻🇺
甘比亞	甘比亞 🇬🇲
甜品	甜品 🍮
甜点	甜点 🍮
甜瓜	甜瓜 🍈
甜甜圈	甜甜圈 🍩
甜筒	甜筒 🍦
甜點	甜點 🍮
生日	生日 🎂
生日蛋糕	生日蛋糕 🎂
生气	生气 😾 💢 😡 😠
生氣	生氣 😾 💢 😡 😠
生病	生病 😷
用餐	用餐 🍴
甲壳虫	甲壳虫 🐞
甲殻蟲	甲殻蟲 🐞
申	申 🈸
申請	申請 🈸
申请	申请 🈸
电子邮件	电子邮件 📧
电影	电影 🎥 🎬
电影打板	电影打板 🎬
电影院	电影院 🎦
电插头	电插头 🔌
电池	电池 🔋
电源	电源 🔌
电灯	电灯 💡
电灯泡	电灯泡 💡
电脑	电脑 💻
电视	电视 📺
电视机	电视机 📺
电视游乐器	电视游乐器 🎮
电话	电话 📞 ☎️
电话听筒	电话听筒 📞
电车	电车 🚎 🚊 🚃
电邮	电邮 📧
电量	电量 🔋
男人	男人 👨
男厕	男厕 🚹
男士	男士 🚹
男士鞋	男士鞋 👞
男孩	男孩 👦
男孩節	男孩節 🎏
男孩节	男孩节 🎏
男廁	男廁 🚹
男性	男性 🚹
男鞋	男鞋 👞
留尼旺島	留尼旺島 🇷🇪
留尼汪	留尼汪 🇷🇪
畢業	畢業 🎓
畢業帽	畢業帽 🎓
番茄	番茄 🍅
番薯	番薯 🍠
當心兒童	當心兒童 🚸
疑問	疑問 ❔ ❓ 😖
疑问	疑问 ❔ ❓ 😖
疲倦	疲倦 🙀 😩
疲劳	疲劳 😪
疲勞	疲勞 😪
疲惫	疲惫 😫
疲憊	疲憊 😫
疾跑	疾跑 💨
痛苦	痛苦 😲 😖
登山列車	登山列車 🚞
登山列车	登山列车 🚞
登山自行車手	登山自行車手 🚵
登山自行车手	登山自行车手 🚵
發件箱	發件箱 📤
發件箱托盤	發件箱托盤 📤
發言	發言 💬
發言中	發言中 💬
發言氣球	發言氣球 💬
發送郵件	發送郵件 📩
發郵件	發郵件 📩
白俄罗斯	白俄罗斯 🇧🇾
白俄羅斯	白俄羅斯 🇧🇾
白老鼠	白老鼠 🐁
百慕大	百慕大 🇧🇲
百慕達	百慕達 🇧🇲
百点	百点 💯
百貨公司	百貨公司 🏬
百貨商店	百貨商店 🏬
百貨大樓	百貨大樓 🏬
百货公司	百货公司 🏬
百货商店	百货商店 🏬
百货大楼	百货大楼 🏬
百點	百點 💯
的士	的士 🚖 🚕
皇冠	皇冠 👑
皮包	皮包 👝
皮鞋	皮鞋 👞
皱眉	皱眉 😠
皺眉	皺眉 😠
盆栽	盆栽 🎍
盈凸月	盈凸月 🌔
盒飯	盒飯 🍱
盒饭	盒饭 🍱
盧安達	盧安達 🇷🇼
盧森堡	盧森堡 🇱🇺
直升机	直升机 🚁
直尺	直尺 📏
直布罗陀	直布罗陀 🇬🇮
直布羅陀	直布羅陀 🇬🇮
直接命中	直接命中 🎯
直方图	直方图 📊
直方圖	直方圖 📊
直昇機	直昇機 🚁
相声	相声 🎭
相机	相机 📷
相機	相機 📷
相聲	相聲 🎭
盾牌	盾牌 🔰
眉月	眉月 🌒
看	看 👀
看不見	看不見 🙈
看不见	看不见 🙈
看电影	看电影 🎦
看電影	看電影 🎦
眨眼	眨眼 😜 😉
眯眼笑	眯眼笑 😄 😆
眼	眼 👀
眼冒金星	眼冒金星 😵
眼睛	眼睛 👀
眼鏡	眼鏡 👓
眼镜	眼镜 👓
眼饞	眼饞 😋
眼馋	眼馋 😋
着急	着急 😣
着迷	着迷 😻 😍
睡覺	睡覺 💤 😪
睡觉	睡觉 💤 😪
石头	石头 ✊
石頭	石頭 ✊
码头	码头 ⛵️
破产	破产 💸
破壳	破壳 🐣
破壳而出	破壳而出 🐣
破殼	破殼 🐣
破殼而出	破殼而出 🐣
破涕为笑	破涕为笑 😂
破涕為笑	破涕為笑 😂
破產	破產 💸
破財	破財 💸
破财	破财 💸
确定	确定 ☑️ ✅
确认手势	确认手势 👌
碎花彩球	碎花彩球 🎊
碟片	碟片 💽
碰撞	碰撞 💥
碰杯	碰杯 🍻
確定	確定 ☑️ ✅
確認手勢	確認手勢 👌
碼頭	碼頭 ⛵️
磁悬浮列车	磁悬浮列车 🚝
磁懸浮列車	磁懸浮列車 🚝
示愛	示愛 😘
示爱	示爱 😘
礼品	礼品 📦 🎁
礼宾花	礼宾花 🎉
礼帽	礼帽 👒 🎩
礼拜堂	礼拜堂 ⛪️
礼物	礼物 🎁
礼盒	礼盒 🎁
祕魯	祕魯 🇵🇪
祖母	祖母 👵
祖父	祖父 👴
祝福	祝福 ㊗️
祝賀	祝賀 ㊗️
祝贺	祝贺 ㊗️
神馬	神馬 🐴 🐎
神马	神马 🐴 🐎
票据	票据 🎫
票據	票據 🎫
祭典	祭典 🎆
禁	禁 🈲
禁丟垃圾	禁丟垃圾 🚯
禁丢垃圾	禁丢垃圾 🚯
禁止	禁止 ⛔️ 🚫 ❌ 🈲
禁止吸烟	禁止吸烟 🚭
禁止吸煙	禁止吸煙 🚭
禁止行人	禁止行人 🚷
禁止进入	禁止进入 ⛔️
禁止通話	禁止通話 📵
禁止通话	禁止通话 📵
禁止進入	禁止進入 ⛔️
禁止飲水	禁止飲水 🚱
禁止饮水	禁止饮水 🚱
禁止騎車	禁止騎車 🚳
禁止骑车	禁止骑车 🚳
禁用手机	禁用手机 📵
禁用手機	禁用手機 📵
禁行	禁行 ⛔️
禁行单车	禁行单车 🚳
禁行單車	禁行單車 🚳
禮品	禮品 📦 🎁
禮帽	禮帽 👒 🎩
禮拜堂	禮拜堂 ⛪️
禮物	禮物 🎁
禮盒	禮盒 🎁
禮賓花	禮賓花 🎉
秀肌肉	秀肌肉 💪
私家車	私家車 🚘 🚗
私家车	私家车 🚘 🚗
科威特	科威特 🇰🇼
科学	科学 🔬
科學	科學 🔬
科摩罗	科摩罗 🇰🇲
科特迪瓦	科特迪瓦 🇨🇮
秘密	秘密 ㊙️
秘方	秘方 ㊙️
秘鲁	秘鲁 🇵🇪
称赞	称赞 👍 👍
移动电话	移动电话 📱
移动电话关机	移动电话关机 📴
移動電話	移動電話 📱
移動電話關機	移動電話關機 📴
稱讚	稱讚 👍
稱贊	稱贊 👍
稻穗	稻穗 🌾
空	空 🈳
空位	空位 🈳
突尼斯	突尼斯 🇹🇳
突尼西亞	突尼西亞 🇹🇳
立陶宛	立陶宛 🇱🇹
竖拇指	竖拇指 👍
竖起拇指	竖起拇指 👍
章魚	章魚 🐙
章鱼	章鱼 🐙
童話	童話 👿 👸
童话	童话 👿 👸
竪拇指	竪拇指 👍
竪起拇指	竪起拇指 👍
竹節	竹節 🎍
竹节	竹节 🎍
笑	笑 😄 😊
笑不可抑	笑不可抑 😹 😂
笑出眼泪	笑出眼泪 😂
笑出眼淚	笑出眼淚 😂
笑容	笑容 😃 😊
笑眼	笑眼 😄
笑脸	笑脸 ☺️ 😃 😊
笑臉	笑臉 ☺️ 😃 😊
笔录	笔录 📝
笔记	笔记 📒
笔记本	笔记本 📔 📓
符号	符号 〰 ➰ ❤️ 🔄 🔂 🔁 🔀 ❎ ✴️ ⚓️ ♻️ ☑️ Ⓜ️ 🔜 🔛 🔚 🔽 🔼 ⬇️ ⬆️ ⬅️ ➿ ➡️ ⤵️ ⤴️ ⏬ ⏫ 🔙 ↪️ ↩️ ↙️ ↘️ ↗️ ↖️ ↕️ ↔️ ℹ️ ㊙️ ㊗️ ⭐️ ⭕️ ✳️ 🔤 🔣 🔢 🔡 🔠 🔟 🔝 🔱 🔰 🔯 〽️ 🔮 🉑 🉐 🈺 🈹 🈸 🈷️ 🈶 🈵 🈴 🈳 🈲 🈯️ 🈚️ 🆚 🆙 🆘 🆗 🆖 🆕 🆔 🆓 🆒 🆑 ➗ ✖️ ➖ ➕ ⁉️ ‼️ ❔ ❓ ❕ ❗️ ❌ ✔️ ™️ ® ©
符號	符號 〰 ➰ ❤️ 🔄 🔂 🔁 🔀 ❎ ✴️ ⚓️ ♻️ ☑️ Ⓜ️ 🔜 🔛 🔚 🔽 🔼 ⬇️ ⬆️ ⬅️ ➿ ➡️ ⤵️ ⤴️ ⏬ ⏫ 🔙 ↪️ ↩️ ↙️ ↘️ ↗️ ↖️ ↕️ ↔️ ℹ️ ㊙️ ㊗️ ⭐️ ⭕️ ✳️ 🔤 🔣 🔢 🔡 🔠 🔟 🔝 🔱 🔰 🔯 〽️ 🔮 🉑 🉐 🈺 🈹 🈸 🈷️ 🈶 🈵 🈴 🈳 🈲 🈯️ 🈚️ 🆚 🆙 🆘 🆗 🆖 🆕 🆔 🆓 🆒 🆑 ➗ ✖️ ➖ ➕ ⁉️ ‼️ ❔ ❓ ❕ ❗️ ❌ ✔️ ™️ ® ©
第一	第一 ☝️
筆記	筆記 📒
筆記本	筆記本 📔 📓
筆錄	筆錄 📝
等待	等待 ⌛️
箭头	箭头 ↙️ ↘️ ↗️ ↖️ ⬇️ ⬆️ ⬅️ ➡️
箭頭	箭頭 ↙️ ↘️ ↗️ ↖️ ⬇️ ⬆️ ⬅️ ➡️
篮球	篮球 🏀
籃球	籃球 🏀
米字旗	米字旗 🇬🇧
米字符号	米字符号 ❇️
米字符號	米字符號 ❇️
米果	米果 🍘
米飯	米飯 🍚
米餅	米餅 🍘
米饭	米饭 🍚
米饼	米饼 🍘
粘貼板	粘貼板 📋
粘贴板	粘贴板 📋
糖果	糖果 🍬
糖果球	糖果球 🎊
糖菓球	糖菓球 🎊
糰子	糰子 🍡
約旦	約旦 🇯🇴
紅中	紅中 🀄️
紅唇	紅唇 💋
紅心	紅心 ♥️
紅旗	紅旗 🚩
紅桃	紅桃 ♥️
紅綠燈	紅綠燈 🚦 🚥
紅色書本	紅色書本 📕
紅薯	紅薯 🍠
紅蘋果	紅蘋果 🍎
紅酒	紅酒 🍷
紅酒杯	紅酒杯 🍷
納米比亞	納米比亞 🇳🇦
紐埃	紐埃 🇳🇺
紐西蘭	紐西蘭 🇳🇿
純潔	純潔 😇
紙牌	紙牌 🎴 🃏
紙箱	紙箱 📦
索引卡	索引卡 📇
索馬利亞	索馬利亞 🇸🇴
索马里	索马里 🇸🇴
紧张	紧张 💗 😓
紫心	紫心 💜
紫色心形	紫色心形 💜
紫荆花旗	紫荆花旗 🇭🇰
紫荊花旗	紫荊花旗 🇭🇰
終點	終點 🚩 🏁
結婚	結婚 ⛪️ 👰 🎎
結束	結束 🔚
結業式	結業式 🎓
絲帶	絲帶 🎀
綁上緞帶的心	綁上緞帶的心 💝
綠心	綠心 💚
綠色心形	綠色心形 💚
綠色書本	綠色書本 📗
綠茶	綠茶 🍵
綠葉	綠葉 🍃
維德角	維德角 🇨🇻
網球	網球 🎾
網球衫	網球衫 🎽
綿羊	綿羊 🐑
緊張	緊張 💗 😓
緞帶	緞帶 🎀
緬甸	緬甸 🇲🇲
繪畫	繪畫 🎨
纜車	纜車 🚡 🚠
红中	红中 🀄️
红唇	红唇 💋
红心	红心 ♥️
红旗	红旗 🚩
红桃	红桃 ♥️
红绿灯	红绿灯 🚦 🚥
红色书本	红色书本 📕
红苹果	红苹果 🍎
红薯	红薯 🍠
红酒	红酒 🍷
红酒杯	红酒杯 🍷
约旦	约旦 🇯🇴
纯洁	纯洁 😇
纳米比亚	纳米比亚 🇳🇦
纸牌	纸牌 🎴 🃏
纸箱	纸箱 📦
纽埃	纽埃 🇳🇺
终点	终点 🚩 🏁
绑上缎带的心	绑上缎带的心 💝
结业式	结业式 🎓
结婚	结婚 ⛪️ 👰 🎎
结束	结束 🔚
绘画	绘画 🎨
绵羊	绵羊 🐑
绿叶	绿叶 🍃
绿心	绿心 💚
绿色书本	绿色书本 📗
绿色心形	绿色心形 💚
绿茶	绿茶 🍵
缅甸	缅甸 🇲🇲
缆车	缆车 🚡 🚠
缎带	缎带 🎀
网球	网球 🎾
网球衫	网球衫 🎽
罗马尼亚	罗马尼亚 🇷🇴
置頂	置頂 🔝
置顶	置顶 🔝
羅馬尼亞	羅馬尼亞 🇷🇴
羊	羊 🐐 🐑
羊羔	羊羔 🐑
美元	美元 💵 💲
美国	美国 🇺🇸 🗽 🇺🇸
美国国旗	美国国旗 🇺🇸
美國	美國 🇺🇸 🗽 🇺🇸
美國國旗	美國國旗 🇺🇸
美容	美容 💆
美属维京群岛	美属维京群岛 🇻🇮
美属萨摩亚	美属萨摩亚 🇦🇸
美屬維京群島	美屬維京群島 🇻🇮
美屬薩摩亞	美屬薩摩亞 🇦🇸
美式橄榄球	美式橄榄球 🏈
美式橄欖球	美式橄欖球 🏈
美式足球	美式足球 🏈
美洲	美洲 🌎
美甲	美甲 💅
美金	美金 💲
羞愧	羞愧 😳
羣花	羣花 🌼
群花	群花 🌼
義大利	義大利 🇮🇹 🇮🇹
義大利國旗	義大利國旗 🇮🇹
義大利麵	義大利麵 🍝
翻书	翻书 📖
翻書	翻書 📖
老人	老人 👴
老奶奶	老奶奶 👵
老妇人	老妇人 👵
老婦人	老婦人 👵
老挝	老挝 🇱🇦
老爷爷	老爷爷 👴
老爺爺	老爺爺 👴
老虎	老虎 🐅 🐯
老虎机	老虎机 🎰
老虎機	老虎機 🎰
老虎脸	老虎脸 🐯
老虎臉	老虎臉 🐯
老鼠	老鼠 🐀 🐭
老鼠脸	老鼠脸 🐭
老鼠臉	老鼠臉 🐭
考慮	考慮 💭
考拉	考拉 🐨
考虑	考虑 💭
耳	耳 👂
耳朵	耳朵 👂
耳机	耳机 🎧
耳機	耳機 🎧
耶	耶 ✌️
聖克里斯多福及尼維斯	聖克里斯多福及尼維斯 🇰🇳
聖堂	聖堂 ⛪️
聖多美及普林西比	聖多美及普林西比 🇸🇹
聖文森	聖文森 🇻🇨
聖誕樹	聖誕樹 🎄
聖誕節	聖誕節 🎄
聖誕老人	聖誕老人 🎅
聖露西亞	聖露西亞 🇱🇨
聖馬丁島	聖馬丁島 🇸🇽
聖馬利諾	聖馬利諾 🇸🇲
聞	聞 👃
聲音	聲音 🔊
聽	聽 👂
聽不到	聽不到 🙉
聽廣播	聽廣播 📻
聽筒	聽筒 📞
肉串	肉串 🍖
肉丸	肉丸 🍡
肉骨	肉骨 🍖
肌肉	肌肉 💪
肯亞	肯亞 🇰🇪
肯定	肯定 🙆
肯尼亚	肯尼亚 🇰🇪
背心	背心 🎽
胜利	胜利 ✌️
胶囊	胶囊 💊
胸有成竹	胸有成竹 😼
脚印	脚印 👣
脚踏车	脚踏车 🚲
脫殻而出	脫殻而出 🐣
脱壳而出	脱壳而出 🐣
脸红	脸红 😳
脸部器官	脸部器官 👄 👂
腕表	腕表 ⌚️
腳印	腳印 👣
腳踏車	腳踏車 🚲
膠囊	膠囊 💊
臉紅	臉紅 😳
臉部器官	臉部器官 👄 👂
自信	自信 😼
自动柜员机	自动柜员机 🏧
自動櫃員機	自動櫃員機 🏧
自然	自然 🌌 🌋 🌊 🌉 🌈 🌇 🌆 🌅 🌄 🌃
自由	自由 🆓
自由女神	自由女神 🗽
自行車	自行車 🚲
自行車手	自行車手 🚴
自行车	自行车 🚲
自行车手	自行车手 🚴
致謝	致謝 🙏
致谢	致谢 🙏
舉手	舉手 🙋
舌头	舌头 👅
舌頭	舌頭 👅
舒服	舒服 😌
舞女	舞女 💃
舞者	舞者 💃
舞蹈家	舞蹈家 💃
航空	航空 ✈️
船	船 🚢
船錨	船錨 ⚓️
船锚	船锚 ⚓️
艺术	艺术 🎨
芬兰	芬兰 🇫🇮
芬蘭	芬蘭 🇫🇮
花	花 🌺 🌸 🌷 💐 🌼 🌹
花札牌	花札牌 🎴
花朵	花朵 🌺
花束	花束 💐
花洒	花洒 🚿
花灑	花灑 🚿
花豹	花豹 🐆
苏丹	苏丹 🇸🇩
苏里南	苏里南 🇸🇷
苦恼	苦恼 😖
苦惱	苦惱 😖
